"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene22",0.99346988863137,0.994881194368424,-120.695323047737,-120.926003267913,7,2,191.332830687501,0,0,FALSE
"gene23",0.471555131620125,0.670457533109183,-152.971755386193,-155.253042475908,7,2,506.792486337465,0,0,FALSE
"gene24",0.643281873404618,0.794489289265262,-116.738825737669,-118.423370408328,7,2,127.388415777162,0,0,FALSE
"gene25",0.824162783919222,0.899086673366424,-132.447902527356,-133.53636207956,7,2,258.509094086153,0,0,FALSE
"gene26",0.654991802248737,0.80203077826376,-146.25717834067,-147.903422858499,7,2,370.962939638471,0,0,FALSE
"gene27",0.130446188599176,0.26988866606726,-70.9995961332097,-75.252807484854,7,2,13.0058594779568,0,0,FALSE
"gene28",0.792613244020798,0.887253631366565,-151.705732275126,-152.901905813982,7,2,353.32876310064,0,0,FALSE
"gene29",0.556065051879816,0.726882420757929,-166.876297126988,-168.853271737292,7,2,790.899951062055,0,0,FALSE
"gene30",0.912926222031067,0.940270728586173,-148.23811574108,-148.988737700391,7,2,297.564236064579,0,0,FALSE
"gene31",0.692233256293998,0.824087209873808,-157.20058384615,-158.725726870656,7,2,473.422147043377,0,0,FALSE
"gene32",0.775822797331772,0.887253631366565,-158.271855929115,-159.524087388026,7,2,532.398104314536,0,0,FALSE
"gene33",0.650622091855829,0.799945194904707,-148.834534490534,-150.495054324156,7,2,534.710299290727,0,0,FALSE
"gene34",0.680645818131234,0.817781343557054,-125.781226803145,-127.343972504063,7,2,185.924678590931,0,0,FALSE
"gene35",0.648063644571993,0.798435701731408,-161.75906537741,-163.427952399434,7,2,753.723580568404,0,0,FALSE
"gene36",0.507979880954331,0.692120519326996,-155.498737528883,-157.645481125483,7,2,566.307852671298,0,0,FALSE
"gene37",0.415705649860751,0.618044957778619,-165.568964907349,-168.069680082407,7,2,732.307810273604,0,0,FALSE
"gene38",0.281954774060629,0.472549900660272,-109.100417984166,-112.229214577843,7,2,104.982753372389,0,0,FALSE
"gene39",0.776491176941122,0.887253631366565,-163.811278490384,-165.061291419088,7,2,709.926308232885,0,0,FALSE
"gene40",0.0585414358557885,0.145144055840798,-137.79751967887,-143.127796211561,7,2,391.515511112988,0,0,FALSE
"gene41",0.133760387008135,0.274850110290689,-162.743930375166,-166.962213706752,7,2,761.016414307984,0,0,FALSE
"gene42",0.0933799866947137,0.210631548935445,-163.493923250366,-168.204784479854,7,2,718.633912835429,0,0,FALSE
"gene43",0.280213728797075,0.472031466649095,-157.729570562606,-160.867945329192,7,2,741.653810077763,0,0,FALSE
"gene44",0.196107287495266,0.372355609168226,-149.561546409608,-153.234887135625,7,2,496.004283718693,0,0,FALSE
"gene45",0.500527354983531,0.690549640091008,-153.317204965485,-155.491011483699,7,2,512.78907508463,0,0,FALSE
"gene46",0.614961317193856,0.769553149578007,-167.582293919359,-169.36019522487,7,2,813.141979459808,0,0,FALSE
"gene47",0.036618882005546,0.0994177792005774,-81.4631801469594,-87.3979812726614,7,2,23.3348581114694,0,0,FALSE
"gene48",0.890959164789604,0.935441554768122,-148.853224686969,-149.695025498365,7,2,430.967171863288,0,0,FALSE
"gene49",0.641765829307956,0.794489289265262,-154.156978525879,-155.846492915755,7,2,614.986804299538,0,0,FALSE
"gene50",0.365472218168114,0.569567093249009,-155.277673603812,-157.993618532177,7,2,688.29546090477,0,0,FALSE
"gene51",0.847534585648234,0.90796783186672,-151.94133948965,-152.947150486361,7,2,496.816473791507,0,0,FALSE
"gene52",0.568422943137553,0.734359794070476,-165.612601000895,-167.547114396858,7,2,847.473628760523,0,0,FALSE
"gene53",0.0562760836535884,0.141278871096875,-148.591986497063,-153.973735374899,7,2,433.681026347101,0,0,FALSE
"gene54",0.768264477202085,0.886459012156251,-135.500425439006,-136.777679887692,7,2,234.093777890226,0,0,FALSE
"gene55",0.689070084561381,0.821952387150753,-110.513376074734,-112.048780247006,7,2,68.6471009824508,0,0,FALSE
"gene56",0.289848406189733,0.480119368120027,-110.169053113243,-113.255011115048,7,2,99.6300929150454,0,0,FALSE
"gene57",0.28339426227196,0.473639435552022,-138.062523516613,-141.183436835785,7,2,303.313433193603,0,0,FALSE
"gene58",0.898023892577397,0.935441554768122,-150.733796641335,-151.547056387391,7,2,495.006891044498,0,0,FALSE
"gene59",0.558508617268277,0.728489500784709,-158.179929797271,-160.148474788155,7,2,668.303633796693,0,0,FALSE
"gene60",0.347124422956433,0.549537345049762,-145.511087694322,-148.310997391676,7,2,395.471529410919,0,0,FALSE
"gene61",0.553270699896687,0.726882420757929,-171.65464597629,-173.641281394628,7,2,934.863263570614,0,0,FALSE
"gene62",0.36832337657216,0.571037238207917,-139.975670445067,-142.678849317957,7,2,295.489635504578,0,0,FALSE
